2026-06-26 23:04:45 | INFO | [PERF] GET /api/notifications/count 200 | api=4439.4ms db=3836.3ms (connect=2105.8ms queries=1730.5ms x2)
2026-06-26 23:04:49 | INFO | [PERF] GET /api/notifications/count 200 | api=4041.4ms db=3428.1ms (connect=2280.8ms queries=1147.3ms x2)
2026-06-26 23:04:53 | INFO | [PERF] GET /api/notifications/count 200 | api=3660.6ms db=3056.3ms (connect=1851.2ms queries=1205.1ms x2)
2026-06-26 23:04:58 | INFO | [PERF] GET /api/notifications/count 200 | api=4538.2ms db=3999.7ms (connect=2844.5ms queries=1155.2ms x2)
2026-06-26 23:05:02 | INFO | [PERF] GET /api/notifications/count 200 | api=4126.4ms db=3521.2ms (connect=1811.5ms queries=1709.7ms x2)
2026-06-26 23:05:04 | INFO | [PERF] GET /create-user 200 | api=26902.5ms db=22823.9ms (connect=6686.3ms queries=16137.7ms x37)
2026-06-26 23:05:17 | INFO | [PERF] GET /api/company-information/logo 404 | api=13296.0ms db=3326.7ms (connect=2829.8ms queries=496.9ms x1)
2026-06-26 23:05:24 | INFO | [PERF] GET /api/notifications/count 200 | api=22662.3ms db=4103.9ms (connect=2958.7ms queries=1145.2ms x2)
2026-06-26 23:05:25 | INFO | [PERF] GET /api/notifications/count 200 | api=20844.8ms db=3394.4ms (connect=1750.9ms queries=1643.5ms x2)
2026-06-26 23:05:25 | INFO | [PERF] GET /api/notifications/count 200 | api=20567.7ms db=13895.0ms (connect=10916.3ms queries=2978.7ms x2)
2026-06-26 23:05:26 | INFO | [PERF] GET /api/notifications/recent 200 | api=21767.9ms db=20676.8ms (connect=18969.7ms queries=1707.1ms x2)
2026-06-26 23:05:28 | INFO | [PERF] GET /api/notifications/count 200 | api=3529.3ms db=2955.5ms (connect=1723.0ms queries=1232.5ms x2)
2026-06-26 23:05:30 | INFO | [PERF] GET /api/users/176/permissions 200 | api=26247.5ms db=19276.0ms (connect=14842.1ms queries=4433.9ms x7)
2026-06-26 23:05:33 | INFO | [PERF] GET /api/notifications/count 200 | api=4962.1ms db=4532.8ms (connect=3316.6ms queries=1216.2ms x2)
2026-06-26 23:05:39 | INFO | [PERF] GET /api/notifications/count 200 | api=5475.0ms db=4274.6ms (connect=2435.1ms queries=1839.5ms x2)
2026-06-26 23:05:43 | INFO | [PERF] GET /api/notifications/count 200 | api=4272.6ms db=3661.9ms (connect=2477.8ms queries=1184.0ms x2)
2026-06-26 23:05:52 | INFO | [PERF] GET /api/notifications/count 200 | api=9014.0ms db=3605.1ms (connect=2130.1ms queries=1475.1ms x2)
2026-06-26 23:05:56 | INFO | [PERF] GET /api/notifications/count 200 | api=4037.7ms db=3428.2ms (connect=2207.3ms queries=1220.9ms x2)
2026-06-26 23:05:59 | INFO | [PERF] GET /api/users/176/permissions 200 | api=12453.2ms db=6558.2ms (connect=2514.4ms queries=4043.8ms x7)
2026-06-26 23:06:00 | INFO | [PERF] GET /api/users/176/permissions 200 | api=13358.7ms db=12214.5ms (connect=7528.4ms queries=4686.1ms x7)
2026-06-26 23:06:01 | INFO | [PERF] GET /api/notifications/count 200 | api=4308.0ms db=3993.2ms (connect=2249.9ms queries=1743.4ms x2)
2026-06-26 23:06:06 | INFO | [PERF] GET /api/notifications/count 200 | api=4948.6ms db=3432.0ms (connect=2341.2ms queries=1090.8ms x2)
2026-06-26 23:06:09 | INFO | [PERF] GET /api/notifications/count 200 | api=3490.2ms db=2964.3ms (connect=1795.8ms queries=1168.5ms x2)
2026-06-26 23:06:14 | INFO | [PERF] GET /api/notifications/count 200 | api=4591.8ms db=3561.3ms (connect=1820.6ms queries=1740.6ms x2)
2026-06-26 23:06:21 | INFO | [PERF] GET /api/notifications/count 200 | api=7533.4ms db=6961.3ms (connect=5263.4ms queries=1697.9ms x2)
2026-06-26 23:06:26 | INFO | [PERF] GET /api/notifications/count 200 | api=4469.9ms db=3393.1ms (connect=1630.1ms queries=1763.0ms x2)
2026-06-26 23:06:30 | INFO | [PERF] GET /api/notifications/count 200 | api=4315.2ms db=3837.8ms (connect=1764.8ms queries=2072.9ms x2)
2026-06-26 23:06:34 | INFO | [PERF] GET /api/notifications/count 200 | api=4313.0ms db=3302.3ms (connect=2164.0ms queries=1138.3ms x2)
2026-06-26 23:06:39 | INFO | [PERF] GET /api/notifications/count 200 | api=4836.3ms db=3774.4ms (connect=2143.5ms queries=1630.9ms x2)
2026-06-26 23:06:44 | INFO | [PERF] GET /api/notifications/count 200 | api=4390.5ms db=3865.4ms (connect=1820.9ms queries=2044.6ms x2)
2026-06-26 23:06:47 | INFO | [PERF] GET /api/notifications/count 200 | api=3580.2ms db=2928.8ms (connect=1738.2ms queries=1190.6ms x2)
2026-06-26 23:06:52 | INFO | [PERF] GET /api/notifications/count 200 | api=5210.0ms db=4657.4ms (connect=1560.7ms queries=3096.7ms x2)
2026-06-26 23:06:57 | INFO | [PERF] GET /api/notifications/count 200 | api=4189.8ms db=3188.5ms (connect=2048.2ms queries=1140.3ms x2)
2026-06-26 23:07:00 | INFO | [PERF] GET /api/notifications/count 200 | api=3679.7ms db=3122.4ms (connect=2077.5ms queries=1044.9ms x2)
2026-06-26 23:07:05 | INFO | [PERF] GET /api/notifications/count 200 | api=4704.2ms db=3692.9ms (connect=2635.8ms queries=1057.0ms x2)
2026-06-26 23:07:09 | INFO | [PERF] GET /api/notifications/count 200 | api=4139.4ms db=3605.2ms (connect=2550.9ms queries=1054.3ms x2)
2026-06-26 23:07:14 | INFO | [PERF] GET /api/notifications/count 200 | api=4524.8ms db=4008.6ms (connect=1996.5ms queries=2012.1ms x2)
2026-06-26 23:07:17 | INFO | [PERF] GET /api/notifications/count 200 | api=3504.7ms db=2938.1ms (connect=1802.6ms queries=1135.5ms x2)
2026-06-26 23:07:22 | INFO | [PERF] GET /api/notifications/count 200 | api=4228.8ms db=3693.6ms (connect=2161.3ms queries=1532.3ms x2)
2026-06-26 23:07:25 | INFO | [PERF] GET /api/notifications/count 200 | api=3425.6ms db=2811.2ms (connect=1693.1ms queries=1118.1ms x2)
2026-06-26 23:07:29 | INFO | [PERF] GET /api/notifications/count 200 | api=4497.8ms db=3427.4ms (connect=2257.6ms queries=1169.8ms x2)
2026-06-26 23:07:33 | INFO | [PERF] GET /api/notifications/count 200 | api=3422.8ms db=2902.0ms (connect=1802.6ms queries=1099.4ms x2)
2026-06-26 23:07:38 | INFO | [PERF] GET /api/notifications/count 200 | api=4590.5ms db=3924.1ms (connect=2235.9ms queries=1688.2ms x2)
2026-06-26 23:07:42 | INFO | [PERF] GET /api/notifications/count 200 | api=4849.6ms db=4321.2ms (connect=2681.9ms queries=1639.4ms x2)
2026-06-26 23:07:46 | INFO | [PERF] GET /api/notifications/count 200 | api=4029.3ms db=3352.0ms (connect=2326.1ms queries=1025.9ms x2)
2026-06-26 23:07:51 | INFO | [PERF] GET /api/notifications/count 200 | api=4043.3ms db=3436.0ms (connect=2300.1ms queries=1135.9ms x2)
2026-06-26 23:07:55 | INFO | [PERF] GET /api/notifications/count 200 | api=4819.1ms db=4294.9ms (connect=2639.2ms queries=1655.7ms x2)
2026-06-26 23:08:00 | INFO | [PERF] GET /api/notifications/count 200 | api=4066.8ms db=3500.4ms (connect=2308.6ms queries=1191.9ms x2)
2026-06-26 23:08:03 | INFO | [PERF] GET /api/notifications/count 200 | api=3576.5ms db=3008.0ms (connect=1792.6ms queries=1215.4ms x2)
2026-06-26 23:08:07 | INFO | [PERF] GET /api/notifications/count 200 | api=3675.4ms db=3139.4ms (connect=2132.3ms queries=1007.1ms x2)
2026-06-26 23:08:12 | INFO | [PERF] GET /api/notifications/count 200 | api=4757.9ms db=4206.0ms (connect=3012.7ms queries=1193.4ms x2)
2026-06-26 23:08:17 | INFO | [PERF] GET /api/notifications/count 200 | api=5503.1ms db=4915.8ms (connect=2781.8ms queries=2134.0ms x2)
2026-06-26 23:08:22 | INFO | [PERF] GET /api/notifications/count 200 | api=4380.9ms db=3857.5ms (connect=2228.6ms queries=1628.9ms x2)
2026-06-26 23:08:24 | INFO | [PERF] GET /department-roles 200 | api=2365.2ms db=2045.5ms (connect=1437.1ms queries=608.4ms x1)
2026-06-26 23:08:34 | INFO | [PERF] GET /api/company-information/logo 404 | api=9588.1ms db=1510.8ms (connect=1077.6ms queries=433.2ms x1)
2026-06-26 23:08:36 | INFO | [PERF] GET /api/notifications/count 200 | api=14787.8ms db=13012.3ms (connect=11263.7ms queries=1748.6ms x2)
2026-06-26 23:08:37 | INFO | [PERF] GET /api/notifications/recent 200 | api=12437.7ms db=6085.5ms (connect=4859.6ms queries=1225.9ms x2)
2026-06-26 23:08:37 | INFO | [PERF] GET /api/notifications/count 200 | api=12456.2ms db=3924.0ms (connect=2619.9ms queries=1304.1ms x2)
2026-06-26 23:08:39 | INFO | [PERF] GET /api/departments 200 | api=14276.7ms db=10610.0ms (connect=8656.4ms queries=1953.5ms x3)
2026-06-26 23:08:41 | INFO | [PERF] GET /api/notifications/count 200 | api=4453.6ms db=4144.3ms (connect=2583.0ms queries=1561.4ms x2)
2026-06-26 23:08:45 | INFO | [PERF] GET /api/notifications/count 200 | api=3480.6ms db=2941.1ms (connect=1838.3ms queries=1102.8ms x2)
2026-06-26 23:08:50 | INFO | [PERF] GET /api/notifications/count 200 | api=5467.7ms db=4901.3ms (connect=1766.1ms queries=3135.2ms x2)
2026-06-26 23:08:54 | INFO | [PERF] GET /api/notifications/count 200 | api=4183.5ms db=3658.7ms (connect=2054.8ms queries=1603.9ms x2)
2026-06-26 23:08:58 | INFO | [PERF] GET /api/notifications/count 200 | api=3286.1ms db=2761.0ms (connect=1703.6ms queries=1057.4ms x2)
